5,"('Al', 'Al', 0)","('Al', 'Al', 1)","('Al', 'Al', 2)","('Al', 'Al', 3)","('Al', 'Ga', 0)","('Al', 'Ga', 1)","('Al', 'Ga', 2)","('Al', 'Ga', 3)","('Al', 'In', 0)","('Al', 'In', 1)","('Al', 'In', 2)","('Al', 'In', 3)","('Al', 'O', 0)","('Al', 'O', 1)","('Al', 'O', 2)","('Al', 'O', 3)","('Al', 'O', 4)","('Ga', 'Ga', 0)","('Ga', 'Ga', 1)","('Ga', 'Ga', 2)","('Ga', 'Ga', 3)","('Ga', 'O', 0)","('Ga', 'O', 1)","('Ga', 'O', 2)","('Ga', 'O', 3)","('Ga', 'O', 4)","('In', 'Ga', 0)","('In', 'Ga', 1)","('In', 'Ga', 2)","('In', 'Ga', 3)","('In', 'In', 0)","('In', 'In', 1)","('In', 'In', 2)","('In', 'In', 3)","('In', 'In', 4)","('In', 'O', 0)","('In', 'O', 1)","('In', 'O', 2)","('In', 'O', 3)","('O', 'O', 0)","('O', 'O', 1)","('O', 'O', 2)"
11,72,0,26,10,17,10,22,14,0,0,0,0,54,0,71,64,72,42,0,0,14,34,0,37,39,46,0,0,0,0,0,0,0,0,0,0,0,0,0,198,122,248
12,64,0,16,30,43,15,24,17,0,0,0,0,67,18,64,93,55,26,0,10,18,41,10,60,69,27,0,0,0,0,0,0,0,0,0,0,0,0,0,280,198,408
13,44,10,22,10,14,7,3,6,0,0,0,0,45,3,44,73,32,2,0,2,0,9,2,19,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,134,56,170
14,0,0,4,0,23,8,28,0,0,0,0,0,24,0,24,20,20,146,0,52,148,114,0,198,166,112,0,0,0,0,0,0,0,0,0,0,0,0,0,360,198,624
15,24,0,8,6,12,5,2,1,35,0,8,28,42,12,45,47,43,2,0,0,0,15,4,16,16,13,11,0,3,7,14,36,0,16,40,51,12,63,100,280,198,264
16,46,0,16,8,15,5,5,15,28,0,5,31,52,0,70,78,39,8,0,2,0,17,0,27,34,19,9,0,4,12,18,18,6,4,14,47,0,45,72,284,112,364
17,134,0,46,82,14,3,5,0,6,0,1,6,95,24,113,143,71,0,0,0,0,9,4,4,14,9,1,0,1,0,0,0,0,0,0,4,0,7,7,280,198,408
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,8,0,34,0,70,59,47,55,0,15,19,50,28,6,12,74,82,0,72,126,284,112,364
19,12,2,0,4,2,1,2,0,6,1,0,3,16,0,17,10,15,8,2,0,2,10,0,14,9,11,6,0,0,3,2,2,0,0,0,14,0,9,8,76,36,62
20,0,0,0,0,2,0,0,1,4,0,0,2,4,0,5,4,2,2,0,0,0,6,0,6,4,2,4,0,1,1,2,2,0,0,2,12,0,7,9,38,14,28
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,12,18,41,0,75,69,58,38,4,19,34,32,86,6,30,50,81,0,97,166,340,128,564
22,20,0,8,0,16,0,5,0,0,0,0,0,23,0,24,16,21,8,0,0,4,17,0,16,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,76,42,58
23,28,0,0,12,0,0,0,0,14,0,0,4,28,0,21,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,12,0,11,10,76,36,62
24,2,0,2,0,20,6,4,6,14,0,1,6,23,4,23,22,15,34,0,18,36,50,15,68,77,52,29,0,7,12,4,18,0,8,6,35,9,33,59,280,198,264
25,28,0,8,4,10,0,3,0,5,0,2,0,28,0,31,18,26,0,0,0,0,10,0,4,4,6,1,0,0,0,0,0,0,0,0,2,0,6,3,76,42,58
26,62,14,24,12,0,0,0,0,6,0,4,7,50,4,55,76,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,9,7,134,56,170
27,8,0,8,6,10,2,5,0,12,0,2,7,23,0,22,37,4,4,0,2,2,14,0,12,19,3,6,0,0,4,2,12,0,2,2,17,0,21,31,132,36,142
28,42,0,34,12,8,0,6,1,0,0,0,0,41,0,40,40,37,0,0,0,0,3,0,7,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,98,28,118
29,0,0,0,2,8,1,0,10,9,0,3,4,11,0,13,14,6,38,0,6,24,51,0,68,86,38,37,0,19,14,24,18,0,4,36,54,0,61,89,284,112,364
30,146,0,92,100,4,2,6,0,18,0,13,24,113,0,165,189,127,0,0,0,0,6,0,9,2,5,1,0,1,1,0,2,2,0,2,19,0,28,25,360,198,648
31,22,0,12,4,24,1,10,8,18,0,7,16,40,9,45,45,37,14,0,8,6,34,9,40,53,25,16,0,8,9,10,18,0,4,14,34,10,39,72,280,198,264
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,12,0,11,8,5,11,0,1,10,18,24,0,12,16,32,0,35,43,90,28,98
33,16,0,14,8,0,0,0,0,25,2,6,7,30,0,34,50,14,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,10,2,12,24,0,32,39,134,48,176
34,68,0,12,14,22,10,8,18,15,0,8,22,65,0,83,97,63,12,0,2,4,29,0,33,47,22,12,0,2,5,6,2,0,8,4,22,0,28,43,284,112,364
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,18,44,82,0,102,101,83,43,0,24,40,32,10,0,6,50,56,0,81,100,336,222,540
36,16,0,10,6,28,7,11,22,17,0,3,21,34,0,50,59,34,32,0,10,8,47,0,63,73,31,18,0,6,8,8,6,2,2,6,35,0,29,50,284,112,364
37,18,0,12,6,0,0,0,0,19,2,9,7,24,0,38,40,20,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,6,2,4,30,0,28,43,134,48,176
38,16,2,2,4,5,2,2,0,31,2,27,29,38,0,40,68,39,0,0,0,0,6,0,8,12,4,3,0,4,3,46,90,14,30,64,74,0,118,164,340,128,580
39,4,0,0,2,9,0,6,2,7,0,3,3,12,0,13,19,7,14,0,0,8,28,0,23,29,7,11,0,1,9,4,0,0,0,4,16,0,15,32,132,38,140
40,0,0,0,0,9,3,3,1,7,0,2,10,11,4,9,13,15,32,0,10,16,51,11,62,62,37,37,0,13,14,16,32,0,10,22,46,13,53,92,280,198,264
41,10,0,6,8,20,3,5,13,23,0,6,22,37,0,36,53,16,14,0,8,4,30,0,55,51,36,25,0,8,10,22,10,4,6,28,49,0,51,82,284,112,364
42,126,24,74,72,4,3,2,3,22,2,14,32,100,7,138,200,116,0,0,0,0,3,0,5,6,8,0,1,0,0,4,4,2,2,6,19,0,26,41,340,154,594
43,58,10,36,28,6,2,4,3,39,5,26,46,76,0,96,149,58,0,0,0,0,4,0,10,7,11,4,1,2,1,26,20,8,4,28,42,3,63,104,340,134,608
44,166,0,66,72,5,2,5,0,0,0,0,0,105,26,122,156,105,0,0,0,0,3,2,2,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,280,198,408
45,22,0,6,28,26,10,30,11,21,0,7,22,52,0,68,63,70,34,0,14,24,52,0,78,83,47,19,0,7,23,4,4,4,0,16,34,0,56,52,360,198,624
46,40,0,20,20,50,13,23,23,0,0,0,0,59,0,69,94,52,44,0,16,24,57,0,73,86,76,0,0,0,0,0,0,0,0,0,0,0,0,0,284,144,332
47,74,0,28,44,30,9,18,9,13,0,1,8,69,18,83,111,53,12,0,2,4,27,8,27,39,23,1,0,3,0,2,0,0,0,0,12,2,16,14,280,198,360
48,92,14,42,54,16,11,8,12,20,4,18,30,85,2,117,171,82,2,0,2,2,20,0,18,33,13,5,0,2,1,6,6,4,2,8,17,2,38,47,340,136,608
49,0,0,0,0,4,0,3,0,1,0,1,0,3,0,3,5,0,22,0,0,16,23,0,23,24,11,8,0,1,12,2,4,0,2,2,15,0,16,16,98,28,118
50,132,0,42,68,15,5,10,5,5,0,2,4,93,23,107,137,71,2,0,0,0,12,3,15,17,8,1,0,0,0,0,0,0,0,0,3,2,8,5,280,198,408
51,8,0,0,4,10,2,4,0,3,2,0,3,17,0,19,9,15,4,2,0,2,15,0,13,10,13,5,0,0,1,2,0,0,0,0,8,0,8,7,76,36,62
52,40,0,2,8,47,25,27,4,0,0,0,0,59,1,90,62,35,42,0,4,34,49,27,34,100,47,0,0,0,0,0,0,0,0,0,0,0,0,0,280,198,360
53,2,0,0,0,1,1,0,0,3,0,1,8,4,0,2,4,7,0,0,0,0,9,0,9,8,16,10,0,4,7,102,120,0,60,154,125,0,150,214,336,222,528
54,28,0,6,6,11,6,2,2,35,0,10,31,43,16,42,52,52,0,0,0,0,16,0,24,15,5,12,0,1,4,12,36,0,16,32,49,12,58,96,280,198,264
55,8,0,2,8,17,4,10,0,0,0,0,0,18,0,22,21,10,16,0,4,16,26,0,25,23,14,0,0,0,0,0,0,0,0,0,0,0,0,0,98,28,118
56,10,0,8,4,20,0,0,0,0,0,0,0,23,0,20,11,18,10,0,0,10,17,0,20,14,18,0,0,0,0,0,0,0,0,0,0,0,0,0,76,42,58
57,4,0,8,4,0,0,0,0,23,2,5,7,18,0,27,34,10,0,0,0,0,0,0,0,0,0,0,0,0,0,18,32,14,6,6,36,0,39,51,134,46,176
58,2,0,6,2,23,11,16,13,4,0,0,2,18,1,27,35,16,110,16,64,58,92,0,136,196,94,8,0,7,4,0,0,0,0,0,12,0,8,15,340,134,608
59,14,0,2,2,17,0,7,0,0,0,0,0,23,0,18,13,13,12,0,0,4,17,0,22,12,23,0,0,0,0,0,0,0,0,0,0,0,0,0,76,36,64
60,108,0,54,84,34,11,56,18,0,0,0,0,103,0,176,109,143,16,0,8,8,35,0,58,65,46,0,0,0,0,0,0,0,0,0,0,0,0,0,360,198,672
61,2,0,2,0,12,3,15,3,1,0,2,3,14,0,14,10,17,108,0,38,92,93,0,142,133,118,24,0,9,27,8,4,4,0,4,31,0,46,39,360,198,600
62,86,8,48,48,16,20,9,14,22,2,12,31,83,2,115,168,90,2,0,0,2,18,0,25,36,21,8,1,0,1,2,6,0,8,6,21,1,34,44,340,142,606
63,0,0,0,0,3,0,3,0,7,0,0,4,7,0,6,8,5,6,0,0,4,18,0,17,29,0,12,0,0,12,8,18,0,6,6,33,0,30,40,132,36,142
64,22,0,14,10,11,5,5,2,4,0,2,3,31,2,28,37,11,2,0,0,0,9,0,11,13,9,2,0,0,1,0,0,0,0,0,4,3,2,7,90,28,138
65,8,0,4,2,34,20,15,26,0,0,0,0,36,0,31,56,10,106,16,70,68,86,0,141,190,122,0,0,0,0,0,0,0,0,0,0,0,0,0,340,142,606
66,12,0,6,2,24,6,6,14,8,0,1,15,29,0,30,42,16,46,0,12,18,59,0,80,89,43,29,0,11,6,2,4,0,4,14,28,0,32,54,284,112,364
67,24,6,10,10,12,6,11,2,32,2,26,28,51,0,65,94,39,4,0,4,0,14,0,27,31,21,11,0,4,10,38,40,14,12,26,57,0,80,124,340,134,598
68,20,0,16,4,21,11,10,0,17,1,10,25,39,0,54,58,47,10,0,2,6,34,0,46,65,24,18,5,6,20,34,42,14,12,16,49,0,72,122,340,134,598
69,30,0,2,6,46,21,25,8,0,0,0,0,51,1,80,56,29,54,0,12,40,57,27,44,106,53,0,0,0,0,0,0,0,0,0,0,0,0,0,280,198,264
70,36,0,8,22,6,2,6,3,2,0,2,3,32,5,31,32,30,2,0,0,0,6,0,10,7,8,2,0,1,0,0,0,0,0,0,6,0,6,3,98,50,96
71,16,0,8,8,11,1,11,0,5,0,2,2,25,0,29,22,9,4,0,0,4,13,0,14,15,3,3,0,2,0,0,2,0,2,0,6,0,4,7,98,28,118
72,68,8,40,34,35,26,25,21,12,2,9,16,80,4,103,150,89,10,4,2,8,33,0,47,72,33,4,1,1,4,2,0,0,0,2,9,2,19,30,340,154,594
73,2,0,0,0,1,2,5,0,10,0,6,7,9,0,11,14,12,14,0,2,4,33,0,37,57,16,26,2,14,20,40,108,16,28,64,80,0,122,171,340,128,564
74,28,0,6,2,13,0,7,0,0,0,0,0,27,0,27,17,27,6,0,0,0,13,0,13,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,76,42,58
75,42,0,16,38,23,7,28,7,26,0,10,35,66,0,86,79,78,12,0,8,12,31,0,55,62,28,17,0,4,11,6,6,6,0,22,41,0,63,60,360,198,624
76,0,0,0,0,15,4,7,2,1,1,1,6,12,0,12,22,3,104,14,50,56,90,0,128,180,86,17,2,7,23,12,10,4,2,0,20,0,32,49,340,134,608
77,134,0,46,76,16,3,4,6,4,0,1,6,97,24,115,141,72,2,0,0,0,9,2,7,13,8,0,0,1,0,0,0,0,0,0,2,2,6,6,280,198,408
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,8,4,34,0,62,57,45,47,0,14,17,58,44,8,12,80,82,0,80,131,284,112,364
79,14,0,6,10,41,10,22,9,0,0,1,3,34,11,33,57,28,68,0,26,36,70,17,86,102,52,6,0,1,1,0,0,0,0,0,4,0,5,3,280,198,264
80,22,0,4,4,18,5,6,19,21,0,7,9,38,0,45,52,23,26,0,10,14,39,0,58,68,31,23,0,7,12,10,6,2,6,20,39,0,39,67,284,112,364
81,36,8,22,22,21,9,10,2,31,5,18,31,64,0,80,127,49,2,0,2,6,22,0,30,39,17,9,1,6,6,20,26,6,10,16,36,0,62,94,340,134,608
82,6,0,0,0,5,1,3,3,0,0,0,0,9,0,8,6,4,10,0,0,2,13,0,10,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,38,14,28
83,10,0,2,4,14,5,3,2,13,0,4,13,27,4,33,22,20,20,0,8,4,40,10,41,42,33,31,0,6,13,14,32,0,16,42,41,14,50,101,280,198,264
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,22,48,84,0,120,108,92,41,0,21,47,24,14,0,8,26,54,0,72,84,336,222,540
85,46,0,30,12,0,0,0,0,6,0,6,4,37,0,42,39,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,5,98,28,118
86,60,0,42,52,51,18,45,14,0,0,0,0,75,0,110,129,92,30,0,16,48,63,0,104,65,91,0,0,0,0,0,0,0,0,0,0,0,0,0,360,198,672
87,12,0,10,8,26,5,8,17,26,0,5,17,35,0,55,58,34,30,0,10,10,42,0,50,67,26,10,0,6,11,14,8,4,0,10,39,0,37,62,284,112,364
88,10,0,0,6,18,0,5,0,0,0,0,0,19,0,18,12,12,14,0,0,6,21,0,22,13,24,0,0,0,0,0,0,0,0,0,0,0,0,0,76,36,64
89,16,0,4,12,13,3,9,0,0,0,0,0,19,0,20,19,13,16,0,10,8,25,0,27,25,13,0,0,0,0,0,0,0,0,0,0,0,0,0,98,28,118
90,12,0,0,4,22,11,11,10,12,0,4,10,27,6,37,31,25,42,0,14,18,55,15,61,84,45,24,0,4,9,0,10,4,0,4,26,7,26,53,280,198,264
91,24,2,10,20,42,20,23,12,8,4,8,14,54,0,65,107,32,30,4,16,26,54,0,80,110,52,12,1,9,4,4,0,0,0,4,14,2,27,40,340,134,608
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,1,3,1,0,1,14,38,10,0,18,38,0,27,32,76,24,72
93,10,0,8,2,9,0,1,1,16,0,4,6,25,0,22,36,4,0,0,0,2,13,0,9,12,4,6,0,0,4,2,4,0,2,10,16,0,24,33,132,36,142
94,94,0,30,58,36,12,17,9,0,0,0,0,80,22,87,125,66,10,0,2,4,28,6,37,37,16,0,0,0,0,0,0,0,0,0,0,0,0,0,280,198,408
95,28,0,18,36,31,9,30,9,21,0,6,29,63,0,86,78,78,24,0,10,24,47,0,68,66,46,14,0,6,15,4,6,2,0,10,28,0,52,51,360,198,624
96,24,0,0,10,11,0,3,0,1,0,0,0,24,0,23,15,21,8,0,0,4,15,0,14,8,12,2,0,0,1,0,0,0,0,0,1,0,3,2,76,36,64
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,192,0,72,204,138,0,138,234,312,246,504
98,2,0,0,2,8,1,1,3,0,0,0,0,8,0,7,6,5,8,0,0,4,14,0,11,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,38,14,28
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,3,4,0,3,1,12,78,6,28,20,49,0,62,78,134,42,150
100,48,0,28,36,46,19,53,16,0,0,0,0,67,0,97,113,75,52,0,20,48,71,0,117,81,84,0,0,0,0,0,0,0,0,0,0,0,0,0,360,198,648
101,0,0,0,0,0,0,0,0,4,0,1,3,2,0,1,2,4,0,0,0,0,4,0,2,4,7,3,0,1,3,114,132,0,68,186,132,0,132,256,336,222,528
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,58,158,120,0,174,203,113,22,0,5,23,0,4,4,0,0,18,0,27,14,360,198,624
103,74,0,48,62,48,18,49,12,0,0,0,0,86,0,126,116,123,22,0,8,36,52,0,90,78,64,0,0,0,0,0,0,0,0,0,0,0,0,0,360,198,672
104,68,0,10,38,5,1,3,2,28,0,6,22,59,0,71,74,67,0,0,0,0,4,0,6,5,6,3,0,0,1,2,6,0,4,4,25,0,31,30,198,102,268
105,78,0,36,26,44,12,24,17,0,0,0,0,90,0,80,130,60,18,0,8,10,26,0,78,41,61,0,0,0,0,0,0,0,0,0,0,0,0,0,284,168,308
106,8,0,14,6,27,6,6,3,0,0,0,0,24,0,32,47,12,12,8,8,4,30,0,36,38,24,0,0,0,0,0,0,0,0,0,0,0,0,0,134,56,170
107,34,2,18,8,18,10,5,7,0,0,0,0,40,0,41,62,21,4,2,2,2,14,2,27,21,18,0,0,0,0,0,0,0,0,0,0,0,0,0,134,56,170
108,52,4,22,12,4,1,3,1,36,2,34,35,62,0,81,118,50,0,0,0,0,6,0,9,11,4,5,1,3,1,34,28,4,16,42,54,0,82,121,340,134,594
109,28,2,14,2,2,0,3,0,14,2,7,10,34,0,33,48,17,0,0,0,0,4,0,6,5,2,4,0,1,0,6,10,6,0,8,16,0,27,33,134,48,178
110,44,0,28,34,0,0,0,0,56,0,14,71,79,0,88,87,75,0,0,0,0,0,0,0,0,0,0,0,0,0,18,34,0,16,68,59,0,95,118,360,198,552
111,32,0,6,8,23,8,10,14,25,0,10,26,49,0,61,79,51,12,0,4,0,30,0,41,45,27,15,0,3,7,8,10,2,4,14,37,0,40,68,284,112,364
112,0,0,6,0,0,0,0,0,35,0,9,31,30,0,15,30,22,0,0,0,0,0,0,0,0,0,0,0,0,0,82,88,0,48,142,108,0,144,211,336,222,528
113,0,0,0,0,5,3,1,2,0,0,0,0,4,0,4,7,0,64,6,30,20,50,0,62,77,33,0,0,0,0,0,0,0,0,0,0,0,0,0,134,48,178
114,54,8,34,24,24,12,13,11,21,2,15,35,69,1,92,140,59,6,0,4,6,21,0,41,43,35,9,4,4,4,12,8,2,4,18,32,0,39,67,340,134,608
115,104,0,44,38,14,3,6,4,6,0,4,4,73,0,90,84,94,0,0,0,2,12,0,11,11,17,2,0,0,0,0,0,0,0,0,3,0,8,11,198,122,248
116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,4,54,86,88,0,139,187,96,34,7,13,16,8,0,0,4,4,34,0,33,59,340,134,602
117,20,0,8,8,21,5,7,7,17,0,8,24,36,11,40,46,40,14,0,8,4,35,10,36,51,26,24,0,4,8,10,14,0,6,14,37,7,48,65,280,198,264
118,18,0,2,8,7,1,9,0,6,0,2,5,18,0,21,22,9,4,0,0,2,13,0,13,10,2,4,0,2,1,2,2,0,2,4,13,0,13,12,98,28,118
119,38,0,6,8,14,7,9,16,24,0,11,28,43,0,64,71,48,18,0,4,4,30,0,39,47,31,18,0,5,6,14,2,0,2,14,43,0,39,66,284,112,364
120,10,0,4,6,5,4,1,0,14,3,5,4,19,0,29,29,17,2,0,0,0,9,0,11,10,7,4,0,3,1,16,12,4,4,4,26,0,26,43,134,48,176
121,28,0,8,8,7,0,8,0,13,0,3,7,29,0,29,44,12,0,0,2,0,7,0,11,14,2,2,0,1,3,2,2,0,0,4,12,0,17,27,132,38,144
122,80,0,28,72,0,0,0,0,42,0,21,68,90,0,123,109,106,0,0,0,0,0,0,0,0,0,0,0,0,0,24,6,0,2,38,48,0,78,88,360,198,600
123,64,0,12,42,16,2,7,4,20,0,2,13,52,0,72,70,64,4,0,0,0,19,0,16,12,18,2,0,2,5,2,2,0,2,2,17,0,20,25,198,102,268
124,2,0,0,0,3,0,1,0,5,2,0,4,9,0,4,6,8,2,0,0,0,4,0,7,5,7,4,1,0,2,6,20,4,0,6,27,0,24,15,76,24,72
125,20,0,8,24,27,12,26,11,17,0,8,22,46,0,62,59,62,38,0,10,42,61,0,88,101,50,15,0,6,22,12,6,2,0,12,31,0,51,46,360,198,624
126,10,0,2,2,0,0,0,0,31,0,10,28,32,0,26,22,27,0,0,0,0,0,0,0,0,0,0,0,0,0,72,74,18,32,112,84,0,116,166,284,112,364
127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,42,0,42,21,30,48,0,3,0,60,84,0,48,102,96,0,123,210,336,222,528
128,38,0,8,26,0,0,0,0,44,0,26,72,64,0,72,92,66,0,0,0,0,0,0,0,0,0,0,0,0,0,42,36,0,12,72,74,0,104,124,360,198,540
129,60,0,22,28,0,0,0,0,46,0,13,34,67,12,91,82,59,0,0,0,0,0,0,0,0,0,0,0,0,0,12,20,8,0,14,41,16,33,96,280,198,264
130,80,12,38,42,14,9,9,7,25,4,17,41,81,2,108,160,71,2,0,0,2,16,0,19,31,14,6,1,3,2,10,8,4,2,14,25,2,44,67,340,134,610
131,18,2,0,6,2,0,2,0,6,3,0,5,18,0,17,16,23,0,0,0,0,5,0,3,2,2,3,1,0,0,6,6,0,0,2,17,0,13,13,76,36,62
132,32,0,12,18,5,2,1,3,37,0,17,62,60,0,68,74,57,2,0,0,0,7,0,12,8,10,7,0,3,7,38,38,0,16,70,71,0,103,129,360,198,552
133,2,0,0,0,4,1,0,2,2,0,0,2,6,0,6,4,2,4,0,0,0,10,0,8,8,4,4,0,0,1,0,0,0,0,0,6,0,4,4,38,14,28
134,12,0,4,12,16,6,5,4,19,0,7,27,29,6,40,28,27,6,0,0,2,26,13,13,33,36,22,0,7,6,24,32,0,12,34,53,9,71,91,280,198,264
135,2,0,0,0,4,1,2,0,5,2,0,2,11,0,6,5,11,4,0,0,0,8,0,15,9,9,7,1,0,5,4,10,0,0,4,21,0,18,11,76,36,60
136,70,0,44,52,42,12,54,13,2,0,3,3,85,0,116,124,114,32,0,14,20,49,0,84,71,64,1,0,1,1,0,0,0,0,0,4,0,5,8,360,198,648
137,10,0,0,4,7,1,2,3,0,0,0,0,13,0,13,10,7,2,0,0,0,9,0,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,38,22,20
138,192,0,126,210,0,0,0,0,0,0,0,0,138,0,234,174,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,198,684
139,38,0,12,12,28,7,12,23,21,0,6,14,57,0,64,83,40,22,0,10,2,32,0,51,57,50,10,0,3,11,4,4,0,4,4,27,0,30,43,284,112,364
140,46,0,24,20,0,0,0,0,15,0,7,2,45,0,41,61,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,11,0,10,19,132,38,144
141,52,0,10,32,10,1,6,1,29,0,3,22,52,0,52,80,59,0,0,0,0,7,0,10,12,10,4,0,1,3,6,8,0,4,10,29,0,29,34,198,102,258
142,0,0,0,0,0,0,2,0,5,1,0,0,3,0,3,3,3,0,2,0,0,7,0,7,6,9,9,1,0,1,10,16,4,0,14,30,0,28,16,76,24,72
143,2,0,0,0,0,0,0,0,7,0,0,5,7,0,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,2,4,15,0,11,12,38,14,28
144,2,0,2,0,0,0,0,0,9,0,6,5,8,0,9,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,26,64,12,14,14,46,0,54,68,134,46,172
145,10,0,4,6,9,4,11,2,20,1,10,13,31,0,29,48,18,8,0,4,10,26,0,45,52,31,29,1,13,12,24,60,14,32,42,65,0,95,135,340,128,580
146,2,0,0,0,3,0,1,0,13,0,4,16,10,0,6,16,18,2,0,0,0,12,0,12,13,15,12,0,6,2,92,92,0,52,140,116,0,130,208,336,222,528
147,50,0,42,50,52,18,47,15,0,0,0,0,73,0,102,118,93,38,0,14,48,65,0,111,77,90,0,0,0,0,0,0,0,0,0,0,0,0,0,360,198,672
148,10,0,0,6,9,2,3,0,5,3,0,1,21,0,17,11,16,4,0,0,0,13,0,12,9,9,4,0,0,4,0,0,0,0,0,6,0,11,5,76,36,62
149,28,0,16,24,44,16,44,16,0,0,0,0,49,0,72,75,53,76,0,28,88,89,0,144,117,88,0,0,0,0,0,0,0,0,0,0,0,0,0,360,198,624
150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,10,2,42,0,42,35,50,38,0,13,6,64,70,0,36,104,96,0,124,177,336,222,528
