"('Al', 'Ga', 0)","('Al', 'Ga', 1)","('Al', 'Ga', 2)","('Al', 'Ga', 3)","('In', 'O', 0)","('In', 'O', 1)","('In', 'O', 2)","('In', 'O', 3)","('Al', 'In', 0)","('Al', 'In', 1)","('Al', 'In', 2)","('Al', 'In', 3)","('Al', 'Al', 0)","('Al', 'Al', 1)","('Al', 'Al', 2)","('Al', 'Al', 3)","('Ga', 'Ga', 0)","('Ga', 'Ga', 1)","('Ga', 'Ga', 2)","('Ga', 'Ga', 3)","('Al', 'O', 0)","('Al', 'O', 1)","('Al', 'O', 2)","('Al', 'O', 3)","('Al', 'O', 4)","('In', 'Ga', 0)","('In', 'Ga', 1)","('In', 'Ga', 2)","('In', 'Ga', 3)","('O', 'O', 0)","('O', 'O', 1)","('O', 'O', 2)","('In', 'In', 0)","('In', 'In', 1)","('In', 'In', 2)","('In', 'In', 3)","('In', 'In', 4)","('Ga', 'O', 0)","('Ga', 'O', 1)","('Ga', 'O', 2)","('Ga', 'O', 3)","('Ga', 'O', 4)",5,"Bond_('Al', 'O')_mean","Bond_('Al', 'O')_std","Bond_('Ga', 'O')_mean","Bond_('Ga', 'O')_std","Bond_('In', 'O')_mean","Bond_('In', 'O')_std",IonChar_mean,IonChar_std,val_mean,val_std,grp_mean,grp_std,period_mean,period_std,p_mean,p_std,Norm0,Norm2,Norm3,Norm5,Norm7,Norm10
17.0,10.0,22.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,26.0,10.0,42.0,0.0,0.0,14.0,54.0,0.0,71.0,64.0,72.0,0.0,0.0,0.0,0.0,198.0,122.0,248.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,37.0,39.0,46.0,11,1.97945245039,0.0696336459913,1.9825029391,0.0693318927379,,,0.535318181818,0.0399270771232,0.0,2.44948974278,4.8,1.46969384567,1.56666666667,0.760847480701,2.8,1.46969384567,3.0,0.664997911442,0.615638250149,0.601260505751,0.600126159039,0.600004910788
43.0,15.0,24.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,16.0,30.0,26.0,0.0,10.0,18.0,67.0,18.0,64.0,93.0,55.0,0.0,0.0,0.0,0.0,280.0,198.0,408.0,0.0,0.0,0.0,0.0,0.0,41.0,10.0,60.0,69.0,27.0,12,1.96462106274,0.110134154199,1.93206634466,0.105307947819,,,0.53587037037,0.0397941677731,0.0,2.44948974278,4.8,1.46969384567,1.5625,0.75570745001,2.8,1.46969384567,3.0,0.66544158271,0.615949576325,0.601335025845,0.600139572877,0.600005793127
14.0,7.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,10.0,22.0,10.0,2.0,0.0,2.0,0.0,45.0,3.0,44.0,73.0,32.0,0.0,0.0,0.0,0.0,134.0,56.0,170.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,19.0,11.0,14.0,13,1.95213611451,0.138665582633,1.87923483675,0.0854205270213,,,0.553333333333,0.0305595956925,0.0,2.44948974278,4.8,1.46969384567,1.475,0.631961232988,2.8,1.46969384567,3.0,0.686476510887,0.63058985656,0.605497529398,0.601165898084,0.600130331078
23.0,8.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,146.0,0.0,52.0,148.0,24.0,0.0,24.0,20.0,20.0,0.0,0.0,0.0,0.0,360.0,198.0,624.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,198.0,166.0,112.0,14,1.99720787791,9.28796896538e-05,2.0257100468,0.0368935789485,,,0.499260869565,0.0310808446409,0.0,2.44948974278,4.8,1.46969384567,1.75,0.942072184071,2.8,1.46969384567,3.0,0.696419413859,0.637431108793,0.607895178281,0.601950889681,0.600273167645
12.0,5.0,2.0,1.0,51.0,12.0,63.0,100.0,35.0,0.0,8.0,28.0,24.0,0.0,8.0,6.0,2.0,0.0,0.0,0.0,42.0,12.0,45.0,47.0,43.0,11.0,0.0,3.0,7.0,280.0,198.0,264.0,14.0,36.0,0.0,16.0,40.0,15.0,4.0,16.0,16.0,13.0,15,2.08399567556,0.115090835579,2.04665738205,0.118089887416,2.04698589626,0.112010788147,0.523027777778,0.0353352877691,0.0,2.44948974278,4.8,1.46969384567,1.85,1.19478031453,2.8,1.46969384567,4.0,0.65192024052,0.610464574873,0.600610254283,0.600044416743,0.600001073318
15.0,5.0,5.0,15.0,47.0,0.0,45.0,72.0,28.0,0.0,5.0,31.0,46.0,0.0,16.0,8.0,8.0,0.0,2.0,0.0,52.0,0.0,70.0,78.0,39.0,9.0,0.0,4.0,12.0,284.0,112.0,364.0,18.0,18.0,6.0,4.0,14.0,17.0,0.0,27.0,34.0,19.0,16,1.97781492473,0.102049991837,1.9845131018,0.0992735161345,2.02001422552,0.0981865085938,0.527025862069,0.0362837146919,0.0,2.44948974278,4.8,1.46969384567,1.775,1.10651479882,2.8,1.46969384567,4.0,0.647108955277,0.608360958692,0.600373672246,0.600020661108,0.600000324588
14.0,3.0,5.0,0.0,4.0,0.0,7.0,7.0,6.0,0.0,1.0,6.0,134.0,0.0,46.0,82.0,0.0,0.0,0.0,0.0,95.0,24.0,113.0,143.0,71.0,1.0,0.0,1.0,0.0,280.0,198.0,408.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,4.0,14.0,9.0,17,1.92660623578,0.108680186274,2.03583321336,0.000250095133876,1.84499138416,0.0773680181931,0.557611111111,0.0254659661529,0.0,2.44948974278,4.8,1.46969384567,1.45,0.610327780787,2.8,1.46969384567,4.0,0.70156076002,0.641225146502,0.609362935988,0.602487399353,0.600387664303
0.0,0.0,0.0,0.0,82.0,0.0,72.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,15.0,19.0,284.0,112.0,364.0,50.0,28.0,6.0,12.0,74.0,34.0,0.0,70.0,59.0,47.0,18,,,1.96614137613,0.0459076028205,2.10579375773,0.116481752856,0.494189655172,0.00591741117834,0.0,2.44948974278,4.8,1.46969384567,2.0375,1.30808782198,2.8,1.46969384567,3.0,0.66544158271,0.615949576325,0.601335025845,0.600139572877,0.600005793127
2.0,1.0,2.0,0.0,14.0,0.0,9.0,8.0,6.0,1.0,0.0,3.0,12.0,2.0,0.0,4.0,8.0,2.0,0.0,2.0,16.0,0.0,17.0,10.0,15.0,6.0,0.0,0.0,3.0,76.0,36.0,62.0,2.0,2.0,0.0,0.0,0.0,10.0,0.0,14.0,9.0,11.0,19,2.05007893973,0.0570383969801,2.03536586714,0.0588877642199,2.05217894583,0.0564554452407,0.52235,0.0367930360259,0.0,2.44948974278,4.8,1.46969384567,1.73333333333,1.03064165558,2.8,1.46969384567,4.0,0.64463598686,0.607317794375,0.600278661934,0.600013537074,0.60000018272
2.0,0.0,0.0,1.0,12.0,0.0,7.0,9.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,5.0,4.0,2.0,4.0,0.0,1.0,1.0,38.0,14.0,28.0,2.0,2.0,0.0,0.0,2.0,6.0,0.0,6.0,4.0,2.0,20,1.94254425342,0.0435126547435,2.01847143135,0.103677379867,2.05739738222,0.104608856755,0.507,0.0288223398205,0.0,2.44948974278,4.8,1.46969384567,1.9,1.22065556157,2.8,1.46969384567,4.0,0.648074069841,0.609119934892,0.600523776088,0.600039797097,0.600001018082
0.0,0.0,0.0,0.0,81.0,0.0,97.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,12.0,18.0,0.0,0.0,0.0,0.0,0.0,38.0,4.0,19.0,34.0,340.0,128.0,564.0,32.0,86.0,6.0,30.0,50.0,41.0,0.0,75.0,69.0,58.0,21,,,2.05829416309,0.126134579584,2.1693507456,0.151495824032,0.493631147541,0.00614070111295,0.0,2.44948974278,4.8,1.46969384567,2.05,1.32193040664,2.8,1.46969384567,3.0,0.667083203206,0.617100579278,0.601615505414,0.600191932328,0.600009519758
16.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,8.0,0.0,8.0,0.0,0.0,4.0,23.0,0.0,24.0,16.0,21.0,0.0,0.0,0.0,0.0,76.0,42.0,58.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,16.0,9.0,15.0,22,1.98448822664,0.0574300878607,1.98208601707,0.0579005654196,,,0.53215,0.0405361258632,0.0,2.44948974278,4.8,1.46969384567,1.56666666667,0.760847480701,2.8,1.46969384567,3.0,0.664997911442,0.615638250149,0.601260505751,0.600126159039,0.600004910788
0.0,0.0,0.0,0.0,12.0,0.0,11.0,10.0,14.0,0.0,0.0,4.0,28.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,28.0,0.0,21.0,25.0,25.0,0.0,0.0,0.0,0.0,76.0,36.0,62.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,23,2.05147310268,0.0672282782357,,,2.03141055874,0.070171661609,0.5463,0.0316197722952,0.0,2.44948974278,4.8,1.46969384567,1.66666666667,1.01105005921,2.8,1.46969384567,3.0,0.669991708075,0.619136269825,0.602130825754,0.600295470186,0.600018058894
20.0,6.0,4.0,6.0,35.0,9.0,33.0,59.0,14.0,0.0,1.0,6.0,2.0,0.0,2.0,0.0,34.0,0.0,18.0,36.0,23.0,4.0,23.0,22.0,15.0,29.0,0.0,7.0,12.0,280.0,198.0,264.0,4.0,18.0,0.0,8.0,6.0,50.0,15.0,68.0,77.0,52.0,24,2.02214621687,0.117549845441,2.04051250523,0.108626500812,2.05206798555,0.116564436468,0.506675925926,0.031888645577,0.0,2.44948974278,4.8,1.46969384567,1.85,1.11915146428,2.8,1.46969384567,4.0,0.65359582312,0.611855493091,0.600916370049,0.60009005571,0.600003302769
10.0,0.0,3.0,0.0,2.0,0.0,6.0,3.0,5.0,0.0,2.0,0.0,28.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,28.0,0.0,31.0,18.0,26.0,1.0,0.0,0.0,0.0,76.0,42.0,58.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,4.0,4.0,6.0,25,1.98534688099,0.0575972625373,1.98453227222,0.0577415448462,1.97278107311,0.0588964059195,0.54305,0.0366803421467,0.0,2.44948974278,4.8,1.46969384567,1.53333333333,0.763034876151,2.8,1.46969384567,4.0,0.674948557711,0.624310350405,0.603706029868,0.600667429473,0.600058568034
0.0,0.0,0.0,0.0,4.0,0.0,9.0,7.0,6.0,0.0,4.0,7.0,62.0,14.0,24.0,12.0,0.0,0.0,0.0,0.0,50.0,4.0,55.0,76.0,38.0,0.0,0.0,0.0,0.0,134.0,56.0,170.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,26,1.96193784811,0.137963253278,,,1.92183300717,0.0878332773786,0.561888888889,0.0180705066303,0.0,2.44948974278,4.8,1.46969384567,1.5,0.74161984871,2.8,1.46969384567,3.0,0.696419413859,0.637431108793,0.607895178281,0.601950889681,0.600273167645
10.0,2.0,5.0,0.0,17.0,0.0,21.0,31.0,12.0,0.0,2.0,7.0,8.0,0.0,8.0,6.0,4.0,0.0,2.0,2.0,23.0,0.0,22.0,37.0,4.0,6.0,0.0,0.0,4.0,132.0,36.0,142.0,2.0,12.0,0.0,2.0,2.0,14.0,0.0,12.0,19.0,3.0,27,2.0536527775,0.0528796487133,2.057819452,0.0391814035904,1.99949843935,0.0864227794247,0.524018518519,0.0373454795424,0.0,2.44948974278,4.8,1.46969384567,1.75,1.06653645039,2.8,1.46969384567,4.0,0.645174395028,0.607600083992,0.600315483549,0.600017155546,0.600000277546
8.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,34.0,12.0,0.0,0.0,0.0,0.0,41.0,0.0,40.0,40.0,37.0,0.0,0.0,0.0,0.0,98.0,28.0,118.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,4.0,5.0,28,1.93583064585,0.0679166790473,1.8679361856,0.0750493077465,,,0.561409090909,0.0206687271256,0.0,2.44948974278,4.8,1.46969384567,1.45,0.589491306128,2.8,1.46969384567,3.0,0.696419413859,0.637431108793,0.607895178281,0.601950889681,0.600273167645
8.0,1.0,0.0,10.0,54.0,0.0,61.0,89.0,9.0,0.0,3.0,4.0,0.0,0.0,0.0,2.0,38.0,0.0,6.0,24.0,11.0,0.0,13.0,14.0,6.0,37.0,0.0,19.0,14.0,284.0,112.0,364.0,24.0,18.0,0.0,4.0,36.0,51.0,0.0,68.0,86.0,38.0,29,2.00965055266,0.108877888279,2.01638572974,0.10287571912,2.0446356592,0.103480210788,0.498827586207,0.0229148633672,0.0,2.44948974278,4.8,1.46969384567,1.925,1.20182153417,2.8,1.46969384567,4.0,0.654073772598,0.611218339005,0.600667316122,0.600048342795,0.600001143496
4.0,2.0,6.0,0.0,19.0,0.0,28.0,25.0,18.0,0.0,13.0,24.0,146.0,0.0,92.0,100.0,0.0,0.0,0.0,0.0,113.0,0.0,165.0,189.0,127.0,1.0,0.0,1.0,1.0,360.0,198.0,648.0,0.0,2.0,2.0,0.0,2.0,6.0,0.0,9.0,2.0,5.0,30,1.99106756155,0.0358101151008,1.96526115658,3.71090100696e-05,1.97996054461,0.0286166808921,0.553934782609,0.0278773729143,0.0,2.44948974278,4.8,1.46969384567,1.5375,0.805353183392,2.8,1.46969384567,4.0,0.685337508094,0.630442469674,0.60549541792,0.60116586896,0.600130331032
24.0,1.0,10.0,8.0,34.0,10.0,39.0,72.0,18.0,0.0,7.0,16.0,22.0,0.0,12.0,4.0,14.0,0.0,8.0,6.0,40.0,9.0,45.0,45.0,37.0,16.0,0.0,8.0,9.0,280.0,198.0,264.0,10.0,18.0,0.0,4.0,14.0,34.0,9.0,40.0,53.0,25.0,31,2.03072366387,0.113752235748,2.03447887517,0.11373097611,2.042428198,0.112408063969,0.519462962963,0.036822252211,0.0,2.44948974278,4.8,1.46969384567,1.8,1.11130553854,2.8,1.46969384567,4.0,0.642991057481,0.606550759474,0.600198657462,0.600007150191,0.600000057181
0.0,0.0,0.0,0.0,32.0,0.0,35.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,10.0,90.0,28.0,98.0,18.0,24.0,0.0,12.0,16.0,12.0,0.0,11.0,8.0,5.0,32,,,2.09284463798,0.155408662606,2.05333426474,0.130354708212,0.494454545455,0.0057897030284,0.0,2.44948974278,4.8,1.46969384567,2.1,1.37477270849,2.8,1.46969384567,3.0,0.678232998313,0.624879976953,0.603719041214,0.600667715689,0.600058569008
0.0,0.0,0.0,0.0,24.0,0.0,32.0,39.0,25.0,2.0,6.0,7.0,16.0,0.0,14.0,8.0,0.0,0.0,0.0,0.0,30.0,0.0,34.0,50.0,14.0,0.0,0.0,0.0,0.0,134.0,48.0,176.0,6.0,14.0,10.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,33,2.07641417875,0.120216255581,,,2.01168541746,0.156252936867,0.536333333333,0.034286375655,0.0,2.44948974278,4.8,1.46969384567,1.75,1.11242977306,2.8,1.46969384567,3.0,0.664266512779,0.615124790153,0.601138849467,0.600104722467,0.600003566837
22.0,10.0,8.0,18.0,22.0,0.0,28.0,43.0,15.0,0.0,8.0,22.0,68.0,0.0,12.0,14.0,12.0,0.0,2.0,4.0,65.0,0.0,83.0,97.0,63.0,12.0,0.0,2.0,5.0,284.0,112.0,364.0,6.0,2.0,0.0,8.0,4.0,29.0,0.0,33.0,47.0,22.0,34,1.94218649019,0.0930477345717,1.96946833212,0.0882472986402,1.97346248262,0.0820651989716,0.533413793103,0.0381564540041,0.0,2.44948974278,4.8,1.46969384567,1.6375,0.925253343685,2.8,1.46969384567,4.0,0.655505530106,0.613125835401,0.601173100692,0.600130584607,0.600005666054
0.0,0.0,0.0,0.0,56.0,0.0,81.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,18.0,44.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,24.0,40.0,336.0,222.0,540.0,32.0,10.0,0.0,6.0,50.0,82.0,0.0,102.0,101.0,83.0,35,,,2.11168510248,0.0353382608175,2.12214030221,0.0382066056916,0.490275362319,0.00638359323186,0.0,2.44948974278,4.8,1.46969384567,1.975,1.23465582249,2.8,1.46969384567,3.0,0.664266512779,0.615124790153,0.601138849467,0.600104722467,0.600003566837
28.0,7.0,11.0,22.0,35.0,0.0,29.0,50.0,17.0,0.0,3.0,21.0,16.0,0.0,10.0,6.0,32.0,0.0,10.0,8.0,34.0,0.0,50.0,59.0,34.0,18.0,0.0,6.0,8.0,284.0,112.0,364.0,8.0,6.0,2.0,2.0,6.0,47.0,0.0,63.0,73.0,31.0,36,1.95774194093,0.0912211312755,1.97637907862,0.0959576029102,2.02267432684,0.0838773953153,0.512956896552,0.0352169121405,0.0,2.44948974278,4.8,1.46969384567,1.7625,1.05170991723,2.8,1.46969384567,4.0,0.644447437733,0.607218930985,0.600265903867,0.600012312168,0.600000152363
0.0,0.0,0.0,0.0,30.0,0.0,28.0,43.0,19.0,2.0,9.0,7.0,18.0,0.0,12.0,6.0,0.0,0.0,0.0,0.0,24.0,0.0,38.0,40.0,20.0,0.0,0.0,0.0,0.0,134.0,48.0,176.0,16.0,14.0,6.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,37,2.03842691436,0.11384913302,,,2.08694964013,0.158200948848,0.528666666667,0.034286375655,0.0,2.44948974278,4.8,1.46969384567,1.8,1.16619037897,2.8,1.46969384567,3.0,0.663324958071,0.614463365137,0.600984418749,0.60007835456,0.60000203218
5.0,2.0,2.0,0.0,74.0,0.0,118.0,164.0,31.0,2.0,27.0,29.0,16.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,38.0,0.0,40.0,68.0,39.0,3.0,0.0,4.0,3.0,340.0,128.0,580.0,46.0,90.0,14.0,30.0,64.0,6.0,0.0,8.0,12.0,4.0,38,2.14074050252,0.177365447766,2.11762032353,0.116146591853,2.08290651081,0.131743074193,0.521114754098,0.0333624400377,0.0,2.44948974278,4.8,1.46969384567,1.925,1.27254665926,2.8,1.46969384567,4.0,0.662382064975,0.615867197084,0.601546161712,0.600188167961,0.600009471786
9.0,0.0,6.0,2.0,16.0,0.0,15.0,32.0,7.0,0.0,3.0,3.0,4.0,0.0,0.0,2.0,14.0,0.0,0.0,8.0,12.0,0.0,13.0,19.0,7.0,11.0,0.0,1.0,9.0,132.0,38.0,140.0,4.0,0.0,0.0,0.0,4.0,28.0,0.0,23.0,29.0,7.0,39,2.04653276691,0.082963540808,2.08237117394,0.0663878249792,2.10821312327,0.0712575061479,0.506285714286,0.032187904941,0.0,2.44948974278,4.8,1.46969384567,1.825,1.11551557587,2.8,1.46969384567,4.0,0.645174395028,0.607600083992,0.600315483549,0.600017155546,0.600000277546
9.0,3.0,3.0,1.0,46.0,13.0,53.0,92.0,7.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,32.0,0.0,10.0,16.0,11.0,4.0,9.0,13.0,15.0,37.0,0.0,13.0,14.0,280.0,198.0,264.0,16.0,32.0,0.0,10.0,22.0,51.0,11.0,62.0,62.0,37.0,40,2.14084326413,0.0973259815379,2.05421667837,0.112532128917,2.08017303079,0.118063891334,0.498888888889,0.0237472545522,0.0,2.44948974278,4.8,1.46969384567,1.9375,1.21802863267,2.8,1.46969384567,4.0,0.65359582312,0.610914963258,0.600609789933,0.600040329113,0.600000800215
20.0,3.0,5.0,13.0,49.0,0.0,51.0,82.0,23.0,0.0,6.0,22.0,10.0,0.0,6.0,8.0,14.0,0.0,8.0,4.0,37.0,0.0,36.0,53.0,16.0,25.0,0.0,8.0,10.0,284.0,112.0,364.0,22.0,10.0,4.0,6.0,28.0,30.0,0.0,55.0,51.0,36.0,41,2.03635384923,0.0997582605609,1.92812230921,0.0635256856211,2.03729781887,0.0971623954616,0.516646551724,0.0348512242674,0.0,2.44948974278,4.8,1.46969384567,1.8375,1.14503002144,2.8,1.46969384567,4.0,0.643476883812,0.606773646838,0.600220681263,0.600008774736,0.600000084413
