ID,NAME,Pred-Boosting,Pred-MLR,Pred-PLS,Pred-SVM,SMILES,permability,set
A-116,dexamethasone b D glucuronide,-4.4196659164,-4.7332659366000005,-4.7332658962,-4.386797048,F[C@@]12[C@H]([C@@H]3C[C@@H](C)[C@](O)(C(=O)CO[C@H]4O[C@@H](C(O)=O)[C@H](O)[C@@H](O)[C@@H]4O)[C@]3(C[C@@H]1O)C)CCC1=CC(=O)C=C[C@@]12C,-6.119999900000001,Tr
A-119,diazepam,-6.1826108418,-5.854771508200001,-5.8547714709,-6.0122189209000005,Clc1cc2c(N(C)C(=O)CN=C2c2ccccc2)cc1,-4.4499998,Tr
A-121,digoxin,-4.1791752489,-4.4003735437,-4.400373535,-4.2474873272,O1CC(=CC1=O)[C@H]1CC[C@]2(O)[C@H]3[C@H](C[C@@H](O)[C@]12C)[C@@]1([C@@H](C[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@@H]4O[C@H](C)[C@@H](O[C@@H]5O[C@H](C)[C@@H](O)[C@@H](O)C5)[C@@H](O)C4)[C@@H](O)C2)CC1)CC3)C,-5.585,Tr
A-124,DMP 581,-5.7266767935,-5.9119219351,-5.911921935700001,-5.8424738575,O=Cc1n(Cc2ccc(cc2)-c2ccccc2-c2[nH]nnn2)c(nc1CC)CCC,-5.48,Tr
A-127,DMXAA,-4.605741238,-5.0945610673,-5.0945610533,-4.9370286646,O1c2c(ccc(C)c2C)C(=O)c2c1c(ccc2)CC(O)=O,-4.5999999,Tr
A-128,DMXAA-G,-5.4160960309,-5.4217351403,-5.421735172899999,-5.461826925,O1C(C(O)=O)[C@@H](O)[C@@H](O)[C@H](O)C1OC(=O)Cc1c2Oc3c(ccc(C)c3C)C(=O)c2ccc1,-6.52,Tr
A-129,dopamine,-4.5442257572,-4.8999416493,-4.8999416499,-4.764023643,Oc1cc(ccc1O)CCN,-5.0300002,Tr
A-132,d-praeruptorin,-4.8771482825,-4.9725961651,-4.9725961661,-4.8245213613999995,O1c2c(c3OC(=O)C=Cc3cc2)[C@H](OC(=O)C)[C@H](OC(=O)\C(=C\C)\C)C1(C)C,-4.579999900000001,Tr
A-134,DUP 996,-4.3311514984,-3.9390213268000003,-3.9390213271,-4.3627305468,O=C1N(c2c(cccc2)C1(Cc1ccncc1)Cc1ccncc1)c1ccccc1,-4.619999900000001,Tr
A-137,echinacoside,-4.8087058894,-4.8837393911,-4.8837393656,-4.7221628756,O1[C@@H](C)[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1O[C@H]1[C@H](OC(=O)\C=C\c2cc(O)c(O)cc2)[C@H](O[C@@H](OCCc2cc(O)c(O)cc2)[C@@H]1O)CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,-6.650000099999999,Tr
A-138,eetoposide,-5.860850462999999,-6.1378382104,-6.1378381641,-6.1700009027,O1C[C@H]2[C@@H]([C@@H](c3c(cc4OCOc4c3)[C@H]2O[C@@H]2O[C@H]3[C@@H](O[C@@H](OC3)C)[C@H](O)[C@H]2O)c2cc(OC)c(O)c(OC)c2)C1=O,-6.1499996,Tr
A-139,EF5154,-6.3827523843,-6.3597949325,-6.3597949751,-6.478321611599999,O(CC(O)=O)c1ccc(cc1)C(=O)CN1CCN(CC1=O)C1CCNCC1,-6.119999900000001,Tr
A-141,EF5170,-5.813188505399999,-5.6547796965999995,-5.6547797096000005,-5.9761492612,O(CC(OCCCC)=O)c1ccc(cc1)C(=O)CN1CCN(CC1=O)C1CCNCC1,-5.79,Tr
A-145,EF5232,-5.3059892994,-4.9716099379,-4.9716099454,-5.2277373379,O(CC(OC(CCCC)C)=O)c1ccc(cc1)C(=O)CN1CCN(CC1=O)C1CCNCC1,-5.29,Tr
A-146,EF5242,-5.2171313395,-5.0096538553,-5.0096538536,-5.2591660066,O(CC(OC(CCCCCC)C)=O)c1ccc(cc1)C(=O)CN1CCN(CC1=O)C1CCNCC1,-4.7399998,Tr
A-147,EF5248,-5.3096122723,-5.0402963786,-5.0402963868,-5.1923644622000005,O1C(COC(=O)N2CCC(N3CC(=O)N(CC3)CC(=O)c3ccc(OCC(OCCCC)=O)cc3)CC2)=C(OC1=O)C,-4.3499999,Tr
A-148,EF5249,-4.9826798881,-4.8895022979,-4.8895023582,-5.262142441,O1C(COC(=O)N2CCC(N3CC(=O)N(CC3)CC(=O)c3ccc(OCC(OC4CCCCC4)=O)cc3)CC2)=C(OC1=O)C,-4.3099999,Tr
A-149,EF5251,-4.3275618161,-4.2563764132,-4.2563763838,-4.1155710258,O(CC(OCC)=O)c1ccc(cc1)C(=O)CN1CCN(CC1=O)C1CCN(CC1)C(OC(OC(=O)C)C)=O,-4.2800002,Tr
A-150,EF5261,-4.6416750621,-4.3966582074,-4.3966582265,-4.6028371969999995,O1\C(\c2c(cccc2)C1=O)=C\COC(=O)N1CCC(N2CC(=O)N(CC2)CC(=O)c2ccc(OCC(OC3CCCCC3)=O)cc2)CC1,-4.4000001,Tr
A-151,EF5264,-4.468238663999999,-4.5228034019,-4.5228034032,-4.4092386018,O1CCC(OC(=O)COc2ccc(cc2)C(=O)CN2CCN(CC2=O)C2CCN(CC2)C(OC(OC(=O)C)C)=O)CC1,-4.5100002,Tr
A-152,EF5265,-4.6909446589999995,-4.493571347,-4.4935713599,-4.5471969301,O(CC(OC(COCC)COCC)=O)c1ccc(cc1)C(=O)CN1CCN(CC1=O)C1CCN(CC1)C(OC(OC(=O)C)C)=O,-4.150000100000001,Tr
A-153,EF5270,-4.3505002956,-4.5269970849000005,-4.5269970727999995,-4.4323197505000005,O(CC(OCC)=O)c1ccc(cc1)C(=O)CN1CCN(CC1=O)C1CCN(CC1)C(OC(OC(=O)C)C(C)(C)C)=O,-4.02,Tr
A-154,EF5278,-4.513950088500001,-4.4269560297,-4.4269559722,-4.2793416286,O(CC(OCC)=O)c1ccc(cc1)C(=O)CN1CCN(CC1=O)C1CCN(CC1)C(OC(OC(=O)C(C)(C)C)C(C)(C)C)=O,-4.0,Tr
A-155,EF5283,-4.2635938039,-4.4604179305,-4.460417940299999,-4.1707051594,O(CC(OCC)=O)c1ccc(cc1)C(=O)CN1CCN(CC1=O)C1CCN(CC1)C(OC(OC(=O)C(C)(C)C)C)=O,-4.139999899999999,Tr
A-158,EF5292,-4.5261793075,-4.4138062461,-4.4138062477,-4.4497021221,O(C(=O)COc1ccc(cc1)C(=O)CN1CCN(CC1=O)C1CCN(CC1)C(OCOC(=O)C(C)(C)C)=O)C1CCCCC1,-4.4400001,Tr
A-159,elarofiban,-4.3259647722,-4.4797736355,-4.4797736563,-4.0983738573,OC(=O)C[C@H](NC(=O)[C@@H]1CCCN(C1)C(=O)CCC1CCNCC1)c1cccnc1,-6.21,Tr
A-16,5-chlorosalicylic acid,-3.9966187944,-4.1388357356,-4.1388357691,-4.0377424445,Clc1cc(C(O)=O)c(O)cc1,-4.98,Tr
A-161,ephedrine,-5.7940814407,-5.8144726444,-5.8144726313,-6.0861395909,OC(C(NC)C)c1ccccc1,-4.9699998,Tr
A-163,epicatechin-3-gallate,-5.1757678035,-5.2605794056,-5.2605794343,-5.2022260875,O1c2c(C[C@H](OC(=O)c3cc(O)c(O)c(O)c3)[C@@H]1c1cc(O)c(O)cc1)c(O)cc(O)c2,-6.8400002,Tr
A-164,epinephrine,-4.9704956826,-4.6620127963,-4.6620127946,-4.604364595,Oc1cc(ccc1O)[C@@H](O)CNC,-6.125,Tr
A-165,eriodictyol ,-6.8206484725,-6.821160879,-6.8211608788,-6.8478643878,O1c2c(C(=O)C[C@H]1c1cc(O)c(O)cc1)c(O)cc(O)c2,-5.2800002,Tr
A-167,erythromycin,-5.88296542,-5.3264515979,-5.3264515818,-5.3484306635,O1[C@@H](CC)[C@@](O)(C)[C@H](O)[C@@H](C)C(=O)[C@@H](C[C@@](O)(C)[C@H](O[C@H]2O[C@@H](C[C@@H](N(C)C)[C@H]2O)C)[C@H](C)[C@@H](O[C@@H]2O[C@@H](C)[C@H](O)[C@@](OC)(C2)C)[C@H](C)C1=O)C,-5.7800002,Tr
A-168,erythromycine,-5.6727878197,-5.6563805576999995,-5.656380565599999,-5.6736756974,O1[C@H](CC)[C@](O)(C)[C@H](O)[C@@H](C)C(=O)[C@@H](C[C@](O)(C)[C@H](O[C@@H]2O[C@@H](C[C@H](N(C)C)[C@H]2O)C)[C@@H](C)[C@H](O[C@@H]2O[C@@H](C)[C@H](O)[C@](OC)(C2)C)[C@@H](C)C1=O)C,-5.4299998,Tr
A-169,estradiol,-5.557033705399999,-5.375192065199999,-5.3751920466,-5.460231808,Oc1cc2CC[C@H]3[C@@H]4CC[C@H](O)[C@]4(CC[C@@H]3c2cc1)C,-4.73,Tr
A-172,famotidine,-5.7041452876,-5.393503954600001,-5.3935039526,-5.757346022899999,s1cc(nc1N=C(N)N)CSCCC(N)=NS(=O)(=O)N,-6.0700002,Tr
A-173,felodipine,-4.705249968,-5.0860456906,-5.0860456901,-4.7791945637,Clc1c(cccc1Cl)C1C(C(OCC)=O)=C(NC(C)=C1C(OC)=O)C,-4.6399999,Tr
A-176,fexofenadine,-5.8802985762999995,-5.3471139392,-5.3471139688,-5.4572192561,OC(C1CCN(CC1)CCCC(O)c1ccc(cc1)C(C(O)=O)(C)C)(c1ccccc1)c1ccccc1,-6.5100002,Tr
A-177,fexofenadine hydrochloride,-4.5713242132,-4.3002055623,-4.3002056401,-4.4944817569,Cl.OC(C1CCN(CC1)CCCC(O)c1ccc(cc1)C(C(O)=O)(C)C)(c1ccccc1)c1ccccc1,-5.6999998,Tr
A-182,fluparoxan,-4.7199151434,-4.6306996802,-4.6306996902,-4.501573115,Fc1c2O[C@@H]3[C@@H](Oc2ccc1)CNC3,-4.099999899999999,Tr
A-183,flurbiprofen,-4.5464370476,-5.0271950123,-5.0271949874,-4.597939739,Fc1cc(ccc1-c1ccccc1)C(C(O)=O)C,-4.4699998,Tr
A-184,formononetin ,-3.8799869987,-4.2026101537,-4.202610151,-4.2623888138,O1C=C(C(=O)c2c1cc(O)cc2)c1ccc(OC)cc1,-4.5300002,Tr
A-185,formoterol,-4.612840472799999,-4.7914149586,-4.7914149558,-4.6500127659,O(C)c1ccc(cc1)CC(NCC(O)c1cc(NC=O)c(O)cc1)C,-5.630000099999999,Tr
A-189,galangin ,-4.5139764076999995,-4.4182270047,-4.4182270169,-4.5237698202,O1c2c(C(=O)C(O)=C1c1ccccc1)c(O)cc(O)c2,-5.1100001,Tr
A-19,AACV,-4.7269199233,-4.9943540174,-4.9943540075,-4.8392945178,O(CCOCn1c2N=C(NC(c2nc1)=C)N)C(=O)[C@H](N)C,-5.6900001,Tr
A-191,genistein ,-5.0131819579000005,-5.1756401699,-5.1756401581,-4.962831668,O1C=C(C(=O)c2c1cc(O)cc2O)c1ccc(O)cc1,-4.6500001,Tr
A-193,glycerol,-5.8429226875,-6.1063036391,-6.106303624400001,-6.0301631365,OC(CO)CO,-4.829999900000001,Tr
A-195,glycine-valine acyclovir,-4.9928849897,-5.0728227888,-5.0728227882,-4.9668905953,Oc1ccc(cc1)C(NC(=O)CN)C(=O)C,-5.2800002,Tr
A-198,griseofulvin,-5.3026348494,-5.2699602661,-5.2699602458,-5.3520346514999995,Clc1c2O[C@]3([C@@H](CC(=O)C=C3OC)C)C(=O)c2c(OC)cc1OC,-4.4000001,Tr
A-199,guanabenz,-5.1596743170999995,-5.5125973646,-5.5125973215999995,-5.5107883126,Clc1cccc(Cl)c1\C=N\N=C(N)N,-4.6799998,Tr
A-2,"(2E)-N-(2-methylbutyl)dodeca-2-ene-8,10-diynamide",-5.2753043955,-5.2245626618,-5.2245626696,-4.9560021533,O=C(NCC(CC)C)\C=C\CCCCC#CC#CC,-4.23,Tr
A-208,hesperetin ,-4.3735273318,-4.1617572126999995,-4.1617572018,-4.3516646774000005,O1c2c(C(=O)C[C@H]1c1cc(O)c(OC)cc1)c(O)cc(O)c2,-4.7399998,Tr
A-209,hexapeptide 01,-4.3837094763,-4.7320468659,-4.7320468444,-4.2404901169,O=C1N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H]1C,-5.8200002,Tr
A-211,hexapeptide 03,-5.8928429735000005,-5.7379897099,-5.7379897076,-5.842361948400001,O=C1N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)N[C@H]1C,-5.8200002,Tr
A-213,hexapeptide 05,-5.8633549663,-5.725516498999999,-5.725516481900001,-5.8013071699,O=C1N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@H]1C,-5.8200002,Tr
A-214,hexapeptide 06,-5.8132557861,-5.8922756614,-5.8922757225,-5.877593760599999,O=C1N(C)[C@H](C)C(=O)N[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@H]1C,-5.8200002,Tr
A-215,hexapeptide 07,-5.750303725499999,-5.9060553973,-5.9060554396,-5.822790445599999,O=C1N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H]1C,-5.8200002,Tr
A-216,hexapeptide 08,-5.8227093626999995,-5.822255753099999,-5.8222557565,-5.8671457347,O=C1N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@H]1C,-5.8200002,Tr
A-217,hexapeptide 09,-5.773729192899999,-5.6541200713999995,-5.65412007,-5.8032605331,O=C1N(C)[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H]1C,-5.3000002,Tr
A-22,aceclofenac,-5.299814731000001,-5.654614476,-5.6546144697,-5.548449128,Clc1cccc(Cl)c1Nc1ccccc1CC(OCC(O)=O)=O,-4.4099998,Tr
A-220,hexapeptide 12,-5.693439409,-5.6840260749,-5.684026079500001,-5.8140027629999995,O=C1N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@H]1C,-5.8200002,Tr
A-221,hexapeptide 13,-5.692630862000001,-5.7090789845000005,-5.709079032899999,-5.8206944088,O=C1N(C)[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@@H]1C,-5.8200002,Tr
A-222,hexapeptide 14,-5.6402764198,-5.6957742441,-5.6957742891,-5.80275008,O=C1N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@H]1C,-5.8200002,Tr
A-226,hexapeptide 18,-5.7498260183,-5.644198457999999,-5.6441984608,-5.8031674465,O=C1N(C)[C@H](C)C(=O)N[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@H]1C,-5.3000002,Tr
A-228,hexapeptide 20,-5.7125155904,-5.6844867212,-5.6844867202,-5.844298694500001,O=C1N(C)[C@H](C)C(=O)N[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@H]1C,-5.8200002,Tr
A-23,acetaminophen,-4.7920130035,-4.7088978959,-4.7088978952,-4.7972354381999995,Oc1ccc(NC(=O)C)cc1,-4.4400001,Tr
A-230,hexapeptide 22,-5.6033842483,-5.6841152312,-5.6841152316,-5.7720494132,O=C1N(C)[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H]1C,-5.8200002,Tr
A-231,hexapeptide 23,-5.739404200499999,-5.7235921465,-5.7235921971,-5.8275872705,O=C1N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H]1C,-5.8200002,Tr
A-232,hexapeptide 24,-5.7201069523,-5.5737358407,-5.573735858200001,-5.7593651036,O=C1N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H]1C,-5.8200002,Tr
A-233,hexapeptide 25,-5.6942669216,-5.5410947163,-5.5410947238,-5.752515714299999,O=C1N(C)[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@@H]1C,-5.8200002,Tr
A-234,hexapeptide 26,-5.7551176273,-5.557973362899999,-5.5579733624,-5.7784907738,O=C1N(C)[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@@H]1C,-5.3000002,Tr
A-235,hexapeptide 27,-5.7762519489,-5.515133854199999,-5.5151338567999995,-5.7415171763999995,O=C1N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@@H]1C,-5.3000002,Tr
A-236,hexapeptide 28,-5.745990593099999,-5.559868625700001,-5.5598686594,-5.757271020499999,O=C1N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@H]1C,-5.0,Tr
A-237,hexapeptide 29,-5.680771762999999,-5.5806769627,-5.580676979400001,-5.7637645814,O=C1N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@@H]1C,-5.8200002,Tr
A-239,hexapeptide 32,-5.7173432515,-5.5186117711,-5.5186117762,-5.7461855056,O=C1N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@H]1C,-5.8200002,Tr
A-240,hexapeptide 33,-5.6341054986,-5.6213186307,-5.6213186315999994,-5.7771583822000006,O=C1N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@H]1C,-5.8200002,Tr
A-241,hexapeptide 34,-5.7991320426,-5.5099040997,-5.509904101,-5.7542568503,O=C1N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@H]1C,-5.8200002,Tr
A-242,hexapeptide 37,-5.7771885459000005,-5.5573527847,-5.5573528327999995,-5.787338264700001,O=C1N(C)[C@@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@@H]1C,-5.8200002,Tr
A-243,hexapeptide 38,-5.7300356502,-5.5362351782,-5.5362352149000005,-5.778701431699999,O=C1N(C)[C@@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@@H]1C,-5.8200002,Tr
A-244,hexapeptide 41,-5.0005156846,-5.2941628916,-5.2941628924,-5.3017622646,O=C1N(C)[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@H](C)C(=O)N(C)[C@H]1C,-5.2600002,Tr
A-245,hexapeptide 42,-5.8061645199,-5.5508281553,-5.5508281619,-5.734193346900001,O=C1N(C)[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H]1C,-5.8200002,Tr
A-250,hexapeptide 47,-4.9591274941000005,-5.2626031544,-5.2626031549,-5.3186849388,O=C1N(C)[C@@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@@H]1C,-5.3000002,Tr
A-251,hexapeptide 48,-5.0992289348,-5.2827338746,-5.282733889599999,-5.3253060836,O=C1N(C)[C@@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@@H]1C,-5.3000002,Tr
A-254,hexapeptide 52,-5.0061399937,-5.2878552570999995,-5.2878552692000005,-5.2677714872,O=C1N(C)[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@H]1C,-4.6999998,Tr
A-255,hexapeptide 53,-5.076096526600001,-5.2598838653,-5.2598838619,-5.284689443,O=C1N(C)[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N(C)[C@H]1C,-5.3000002,Tr
A-256,hexapeptide 54,-5.2135839121,-5.2352616616,-5.2352616663,-5.3739854759000005,O=C1N(C)[C@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@H]1C,-5.0,Tr
A-257,hexapeptide 55,-5.0885144589,-5.3212034375999995,-5.3212034381999995,-5.3294231638,O=C1N(C)[C@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@H]1C,-5.3000002,Tr
A-258,hexapeptide 56,-5.1335651022,-5.2364676326,-5.236467633999999,-5.319617164499999,O=C1N(C)[C@@H](C)C(=O)N(C)[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N(C)[C@@H]1C,-5.0999999,Tr
A-259,hexapeptide 57,-5.0200559701,-5.2350016749,-5.2350016816,-5.2330605299,O=C1N(C)[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N(C)[C@H]1C,-5.1500001,Tr
A-26,alfentanil,-4.6148550905,-4.4921225041,-4.4921225015,-4.523056959,O=C1N(N=NN1CC)CCN1CCC(N(C(=O)CC)c2ccccc2)(CC1)COC,-4.2600002,Tr
A-260,hexapeptide 58,-5.156590909,-5.1421157118,-5.1421156627,-5.1577988187,O=C1N(C)[C@H](C)C(=O)N(C)[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N(C)[C@H]1C,-5.3000002,Tr
A-261,hexapeptide 59,-5.2570786096,-5.1130858156,-5.1130858283,-5.2571048745999995,O=C1N(C)[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@@H](C)C(=O)N(C)[C@@H]1C,-5.3000002,Tr
A-262,hexapeptide 60,-5.191004128,-5.0678013392,-5.0678013405,-5.1867242429000004,O=C1N(C)[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@H](C)C(=O)N(C)[C@H]1C,-5.3000002,Tr
A-263,hispidulin,-5.1910974626,-5.0646397235,-5.0646397368,-5.1705573185,O1c2c(c(O)c(OC)c(O)c2)C(=O)C=C1c1ccc(O)cc1,-5.1799998,Tr
A-264,hydralazine,-5.1825262676,-5.0460164348,-5.0460164329,-5.1273226118,n1ncc2c(cccc2)c1NN,-5.170000099999999,Tr
A-266,hydrocortisone,-5.2473388268,-5.0846948291,-5.0846948387,-5.252495635,O=C1CC[C@@]2([C@H]3[C@H]([C@H]4CC[C@@](O)(C(=O)CO)[C@]4(C[C@H]3O)C)CCC2=C1)C,-4.6599998,Tr
A-267,IACV,-4.7744740617,-4.5208185765,-4.5208185925999995,-4.6035326202,O(CCOCn1c2N=C(NC(c2nc1)=C)N)C(=O)[C@H](N)[C@@H](CC)C,-5.6799998,Tr
A-269,ibuproxam,-5.5645165701999995,-5.782054044500001,-5.7820540467,-5.6654841949,O=C(NO)C(C)c1ccc(cc1)CC(C)C,-4.630000099999999,Tr
A-27,alminoprofen,-5.3240642616,-5.2418844451,-5.2418843207,-5.3982721799,OC(=O)C(C)c1ccc(NCC(C)=C)cc1,-4.3400002,Tr
A-270,imipramine,-4.345003935,-4.9563110296,-4.9563110408,-4.5183156551,N(CCCN1c2c(CCc3c1cccc3)cccc2)(C)C,-4.8509998,Tr
A-272,indomethacin,-4.5350287737,-4.616025841,-4.616025828,-4.5543080133,Clc1ccc(cc1)C(=O)n1c2c(cc(OC)cc2)c(CC(O)=O)c1C,-4.6900001,Tr
